year,iso3,cntry,country_name,cntryID,residur_raw_v2,iussoli2_v2,iussoli3_v2,ecoreq_v2,crimreq_v2,iussoli_v2,natreq_v2,civint_v2,dualcit_v2,CITRIX_v2,CITRIX_firstgen_v2,dualcit_v2_plus1,residur_v2_plus1,intcon_v2_plus1,iussoli_v2_plus1,langtest_v2,cittest_v2,residur_v2,intcon_v2,period,CITRIX_nointcon_v2,CITRIX_catpca_os,CITRIX_1gen_v2,corrected,var1_corrected,var2_corrected,var1_corrected_justification,var2_corrected_justification,var3_corrected,var3_corrected_justification,residur_raw_v1,iussoli2_v1,iussoli3_v1,langtest_v1,cittest_v1,ecoreq_v1,crimreq_v1,iussoli_v1,natreq_v1,civint_v1,intcon_v1,dualcit_v1,residur_v1,CITRIX_v1,CITRIX_firstgen_v1,CITRIX_nointcon_v1,MIPEX_ATN_2020
1989,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,Cold War,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1990,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,Cold War,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1991,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,Cold War,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1992,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1993,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1994,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1995,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1996,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1997,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1998,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1999,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
2000,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
2001,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,1990s,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
2002,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,100,82.826668,83.333336,101,87.666664,67.75,78.889999,67,100,86.666664,66.75,Post 9/11,88.185555,1.317032658,83.333336,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,100,100,88.25,91.666664,84.333336,
2003,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,100,82.826668,83.333336,101,87.666664,67.75,78.889999,67,100,86.666664,66.75,Post 9/11,88.185555,1.317032658,83.333336,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,100,100,88.25,91.666664,84.333336,
2004,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,100,82.826668,83.333336,101,87.666664,67.75,78.889999,67,100,86.666664,66.75,Post 9/11,88.185555,1.317032658,83.333336,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,100,100,88.25,91.666664,84.333336,
2005,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,100,82.826668,83.333336,101,87.666664,67.75,78.889999,67,100,86.666664,66.75,Post 9/11,88.185555,1.317032658,83.333336,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,100,100,88.25,91.666664,84.333336,
2006,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,100,82.826668,83.333336,101,87.666664,67.75,78.889999,67,100,86.666664,66.75,Post 9/11,88.185555,1.317032658,83.333336,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,100,100,88.25,91.666664,84.333336,
2007,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Post 9/11,83.741112,0.835235725,78.205132,2,residur,langtest,residur wrongly recorded in fitzgerald data - 4 years is right according to GLOBALCIT report and DEMIG,only basic knowledge demanded and indirect assessment via citizenship test - as indicated by MIPEX CORE datasheet and GLOBALCIT resources - coded with a revised indicator,N/A,N/A,2,67,100,0,0,100,0,78,50,0,25,100,100,75.75,75,67.666664,
2008,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Post 9/11,83.741112,0.835235725,78.205132,2,residur,langtest,residur wrongly recorded in fitzgerald data - 4 years is right according to GLOBALCIT report and DEMIG,only basic knowledge demanded and indirect assessment via citizenship test - as indicated by MIPEX CORE datasheet and GLOBALCIT resources - coded with a revised indicator,N/A,N/A,2,67,100,0,0,100,0,78,50,0,25,100,100,75.75,75,67.666664,
2009,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Great Recession,83.741112,0.835235725,78.205132,2,residur,langtest,residur wrongly recorded in fitzgerald data - 4 years is right according to GLOBALCIT report and DEMIG,only basic knowledge demanded and indirect assessment via citizenship test - as indicated by MIPEX CORE datasheet and GLOBALCIT resources - coded with a revised indicator,N/A,N/A,2,67,100,0,0,100,0,78,50,0,25,100,100,75.75,75,67.666664,
2010,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Great Recession,83.741112,0.835235725,78.205132,2,residur,langtest,residur wrongly recorded in fitzgerald data - 4 years is right according to GLOBALCIT report and DEMIG,only basic knowledge demanded and indirect assessment via citizenship test - as indicated by MIPEX CORE datasheet and GLOBALCIT resources - coded with a revised indicator,N/A,N/A,2,67,100,0,0,100,0,78,50,0,25,100,100,75.75,75,67.666664,76.125
2011,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Great Recession,83.741112,0.835235725,78.205132,2,residur,langtest,residur wrongly recorded in fitzgerald data - 4 years is right according to GLOBALCIT report and DEMIG,only basic knowledge demanded and indirect assessment via citizenship test - as indicated by MIPEX CORE datasheet and GLOBALCIT resources - coded with a revised indicator,N/A,N/A,2,67,100,0,0,100,0,78,50,0,25,100,100,75.75,75,67.666664,76.125
2012,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Great Recession,83.741112,0.835235725,78.205132,2,residur,langtest,residur wrongly recorded in fitzgerald data - 4 years is right according to GLOBALCIT report and DEMIG,only basic knowledge demanded and indirect assessment via citizenship test - as indicated by MIPEX CORE datasheet and GLOBALCIT resources - coded with a revised indicator,N/A,N/A,2,67,100,0,0,100,0,78,50,0,25,100,100,75.75,75,67.666664,76.125
2013,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Great Recession,83.741112,0.835235725,78.205132,2,residur,langtest,residur wrongly recorded in fitzgerald data - 4 years is right according to GLOBALCIT report and DEMIG,only basic knowledge demanded and indirect assessment via citizenship test - as indicated by MIPEX CORE datasheet and GLOBALCIT resources - coded with a revised indicator,N/A,N/A,2,67,100,0,0,100,0,78,50,0,25,100,100,75.75,75,67.666664,76.125
2014,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Great Recession,83.741112,0.835235725,78.205132,2,residur,langtest,residur wrongly recorded in fitzgerald data - 4 years is right according to GLOBALCIT report and DEMIG,only basic knowledge demanded and indirect assessment via citizenship test - as indicated by MIPEX CORE datasheet and GLOBALCIT resources - coded with a revised indicator,N/A,N/A,2,67,100,0,0,100,0,78,50,0,25,100,100,75.75,75,67.666664,76.125
2015,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Post Refugee Crisis,83.741112,0.835235725,78.205132,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,76.125
2016,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Post Refugee Crisis,83.741112,0.835235725,78.205132,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,76.125
2017,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Post Refugee Crisis,83.741112,0.835235725,78.205132,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,76.125
2018,,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Post Refugee Crisis,83.741112,0.835235725,78.205132,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,76.125
2019,AUS,au,Australia,2,4,67,100,100,0,77.89,50,16.5,100,71.118332,78.205132,101,74.333336,34.25,78.889999,33,0,73.333336,33.25,Post Refugee Crisis,83.741112,0.835235725,78.205132,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,76.125
1980,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1981,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1982,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1983,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1984,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1985,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1986,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1987,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1988,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1989,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1990,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1991,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,Cold War,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1992,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,1990s,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1993,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,1990s,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1994,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,1990s,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1995,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,1990s,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1996,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,1990s,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1997,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,1990s,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1998,,at,Austria,1,10,0,0,50,50,0,50,100,0,27.083332,37.820515,1,34.333332,76,1,100,100,33.333332,75,1990s,11.111111,-1.025323533,37.820515,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,100,100,50,50,0,50,100,75,0,38.46154,28.365385,37.820515,25,
1999,,at,Austria,1,10,0,0,50,50,0,50,83.5,0,25.020832,29.487181,1,34.333332,67.75,1,67,100,33.333332,66.75,1990s,11.111111,-1.025323533,29.487181,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,0,100,50,50,0,50,50,50,0,38.46154,22.115385,29.487181,16.666666,
2000,,at,Austria,1,10,0,0,50,50,0,50,83.5,0,25.020832,29.487181,1,34.333332,67.75,1,67,100,33.333332,66.75,1990s,11.111111,-1.025323533,29.487181,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,0,100,50,50,0,50,50,50,0,38.46154,22.115385,29.487181,16.666666,
2001,,at,Austria,1,10,0,0,50,50,0,50,83.5,0,25.020832,29.487181,1,34.333332,67.75,1,67,100,33.333332,66.75,1990s,11.111111,-1.025323533,29.487181,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,0,100,50,50,0,50,50,50,0,38.46154,22.115385,29.487181,16.666666,
2002,,at,Austria,1,10,0,0,50,50,0,50,83.5,0,25.020832,29.487181,1,34.333332,67.75,1,67,100,33.333332,66.75,Post 9/11,11.111111,-1.025323533,29.487181,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,0,100,50,50,0,50,50,50,0,38.46154,22.115385,29.487181,16.666666,
2003,,at,Austria,1,10,0,0,50,50,0,50,83.5,0,25.020832,29.487181,1,34.333332,67.75,1,67,100,33.333332,66.75,Post 9/11,11.111111,-1.025323533,29.487181,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,0,100,50,50,0,50,50,50,0,38.46154,22.115385,29.487181,16.666666,
2004,,at,Austria,1,10,0,0,50,50,0,50,83.5,0,25.020832,29.487181,1,34.333332,67.75,1,67,100,33.333332,66.75,Post 9/11,11.111111,-1.025323533,29.487181,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,0,100,50,50,0,50,50,50,0,38.46154,22.115385,29.487181,16.666666,
2005,,at,Austria,1,10,0,0,50,50,0,50,83.5,0,25.020832,29.487181,1,34.333332,67.75,1,67,100,33.333332,66.75,Post 9/11,11.111111,-1.025323533,29.487181,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,0,100,50,50,0,50,50,50,0,38.46154,22.115385,29.487181,16.666666,
2006,,at,Austria,1,10,0,0,0,0,0,0,16.5,0,10.395833,16.987181,1,34.333332,9.25,1,33,0,33.333332,8.25,Post 9/11,11.111111,-1.884547834,16.987181,0,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0,50,0,0,0,0,0,25,12.5,0,38.46154,12.740385,16.987181,4.1666665,
